 m/s                km/h
   0    0.000
   1    3.600
   2    7.200
   3   10.800
   4   14.400
   5   18.000
   6   21.600
   7   25.200
   8   28.800
   9   32.400
  10   36.000
  11   39.600
  12   43.200
  13   46.800
  14   50.400
  15   54.000
  16   57.600
  17   61.200
  18   64.800
  19   68.400
  20   72.000
  21   75.600
  22   79.200
  23   82.800
  24   86.400
  25   90.000
  26   93.600
  27   97.200
  28  100.800
  29  104.400
  30  108.000
  31  111.600
  32  115.200
  33  118.800
  34  122.400
  35  126.000
  36  129.600
  37  133.200
  38  136.800
  39  140.400
  40  144.000
  41  147.600
  42  151.200
  43  154.800
  44  158.400
  45  162.000
  46  165.600
  47  169.200
  48  172.800
  49  176.400
  50  180.000
  51  183.600
  52  187.200
  53  190.800
  54  194.400
  55  198.000
  56  201.600
  57  205.200
  58  208.800
  59  212.400
  60  216.000
  61  219.600
  62  223.200
  63  226.800
  64  230.400
  65  234.000
  66  237.600
  67  241.200
  68  244.800
  69  248.400
  70  252.000
  71  255.600
  72  259.200
  73  262.800
  74  266.400
  75  270.000
  76  273.600
  77  277.200
  78  280.800
  79  284.400
  80  288.000
  81  291.600
  82  295.200
  83  298.800
  84  302.400
  85  306.000
  86  309.600
  87  313.200
  88  316.800
  89  320.400
  90  324.000
  91  327.600
  92  331.200
  93  334.800
  94  338.400
  95  342.000
  96  345.600
  97  349.200
  98  352.800
  99  356.400
 100  360.000
