  °C      °F
   0    32.00
   1    33.80
   2    35.60
   3    37.40
   4    39.20
   5    41.00
   6    42.80
   7    44.60
   8    46.40
   9    48.20
  10    50.00
  11    51.80
  12    53.60
  13    55.40
  14    57.20
  15    59.00
  16    60.80
  17    62.60
  18    64.40
  19    66.20
  20    68.00
  21    69.80
  22    71.60
  23    73.40
  24    75.20
  25    77.00
  26    78.80
  27    80.60
  28    82.40
  29    84.20
  30    86.00
  31    87.80
  32    89.60
  33    91.40
  34    93.20
  35    95.00
  36    96.80
  37    98.60
  38   100.40
  39   102.20
  40   104.00
  41   105.80
  42   107.60
  43   109.40
  44   111.20
  45   113.00
  46   114.80
  47   116.60
  48   118.40
  49   120.20
  50   122.00
  51   123.80
  52   125.60
  53   127.40
  54   129.20
  55   131.00
  56   132.80
  57   134.60
  58   136.40
  59   138.20
  60   140.00
  61   141.80
  62   143.60
  63   145.40
  64   147.20
  65   149.00
  66   150.80
  67   152.60
  68   154.40
  69   156.20
  70   158.00
  71   159.80
  72   161.60
  73   163.40
  74   165.20
  75   167.00
  76   168.80
  77   170.60
  78   172.40
  79   174.20
  80   176.00
  81   177.80
  82   179.60
  83   181.40
  84   183.20
  85   185.00
  86   186.80
  87   188.60
  88   190.40
  89   192.20
  90   194.00
  91   195.80
  92   197.60
  93   199.40
  94   201.20
  95   203.00
  96   204.80
  97   206.60
  98   208.40
  99   210.20
 100   212.00
